Quantity,Card_Name
3,"Absorb"
2,"Censor"
3,"Dovin's Veto"
1,"Eiganjo, Seat of the Empire"
1,"Farewell"
1,"Fateful Absence"
2,"Field of Ruin"
1,"Hall of Storm Giants"
4,"Hallowed Fountain"
4,"Irrigated Farmland"
4,"Island"
4,"Lay Down Arms"
2,"Make Disappear"
2,"March of Otherworldly Light"
3,"Memory Deluge"
1,"Otawara, Soaring City"
6,"Plains"
4,"Prairie Stream"
1,"Saw It Coming"
3,"Shark Typhoon"
2,"Supreme Verdict"
3,"Teferi, Hero of Dominaria"
3,"The Wandering Emperor"
1,"Elspeth, Sun's Champion"
1,"Kaheera, the Orphanguard"
2,"Mystical Dispute"
1,"Narset's Reversal"
3,"Regal Caracal"
2,"Rest in Peace"
2,"Starnheim Unleashed"
1,"Summary Dismissal"
2,"Temporary Lockdown"
