Deck_Name,Paper_Price,MTGO_Price_Tix,MTGArena_Price
Grixis Midrange,384.53,419.4699999999999,120
Mono-White Midrange,280.8400000000001,254.83000000000004,90
5 Color Midrange,505.99,759.4899999999998,130
Mono-Red Aggro,91.68000000000004,103.09000000000002,70
Esper Midrange,501.96,435.40999999999997,226
Mono-Blue Tempo,44.34000000000001,21.979999999999997,36
Azorius Soldiers,117.57,85.81,176
Selesnya Poison,214.61999999999998,240.20000000000002,122
Jund Midrange,467.72,498.3799999999999,144
Kami War,358.16,678.1099999999996,140
Esper Legends,589.0699999999999,571.1599999999999,184
Mardu Midrange,420.91,429.44999999999993,162
Rakdos Aggro,419.19,474.0499999999998,86
Domain Control,357.24,487.27999999999986,120
Esper Aggro,451.9599999999999,364.99,208
